filename,transcription,label
./test/common_voice_yue_33021503.wav,['有量大差距'],有略大差距嘅
./test/common_voice_yue_32986413.wav,['確實是這樣'],确实系噉样样
./test/common_voice_yue_32286016.wav,['聽唔聽到啊女 聽唔聽到嘅'],听唔听到吖女听唔听到啫
./test/common_voice_yue_32255448.wav,"['有些人随着社会的开放,出来背着自己老婆狗狗阵的。']",有啲人随住社会嘅开放 出嚟背住自己老婆搞搞震嘅
./test/common_voice_yue_32274323.wav,['每條片雅十分鐘'],每条片廿分钟
./test/common_voice_yue_32407196.wav,['非常趁車我的拼命大風格卡車你的臉'],乡村车或者偏远地方嘅客车你哋点叫
./test/common_voice_yue_32088684.wav,['放兩個女人出來擋子彈'],摆两个女人出来挡子弹
./test/common_voice_yue_31715537.wav,['你的抑郁力更差'],你记忆力仲差过我
./test/common_voice_yue_32969628.wav,['條直條類哪有一起算的'],调值调类边有一起算嘅
./test/common_voice_yue_32270965.wav,['古代封閉少點文化交流'],古代封闭少啲文化交流
./test/common_voice_yue_32992854.wav,['陰魂為面目'],音韵为面目
./test/common_voice_yue_33009855.wav,['应该叫拼写串链'],应该叫拼写串连
./test/common_voice_yue_33048148.wav,['你今次要坐商務嗎'],你今次要坐商务咩
./test/common_voice_yue_32672601.wav,"['牛丸湯两个,外卖,谢谢']",牛丸汤面两个 外卖 唔该
./test/common_voice_yue_31695870.wav,['誰坐在這裡'],边个坐紧喺度
./test/common_voice_yue_32270140.wav,['我去食舊包'],我去食嚿包
./test/common_voice_yue_33283486.wav,['只是北方地區的人不是這麼看得命'],只系北方地区嘅人唔系咁睇得明
./test/common_voice_yue_32980104.wav,['你又没见到'],你有冇见到
./test/common_voice_yue_31355478.wav,"['看清全限就得,不用太過潔癖。']",睇清权限就得唔使太过洁癖
./test/common_voice_yue_31730177.wav,[' Þú hún þó á það í það.'],原本同加英文后嘅对比
./test/common_voice_yue_32279039.wav,['怕它不夠下去'],惊佢唔搞落去
./test/common_voice_yue_32270023.wav,['我朋友會但是我一定沒有'],我朋友会但系我一定冇
./test/common_voice_yue_32079848.wav,['任何不属于你的事不准暖动'],任何唔属于你嘅嘢唔准乱喐
./test/common_voice_yue_32977410.wav,['這就是什麼樣子?'],噉解散咗咩群
./test/common_voice_yue_32332239.wav,['所以這個女孩是誰'],所以呢个女仔系边个
./test/common_voice_yue_31278106.wav,['那個是因為我們這邊有規範的請你理解一下'],嗰个系因为我哋呢边有规范嘅请你理解下
./test/common_voice_yue_33198481.wav,"['好,等个常用错字表谈好我就法。']",好等个常用错字表倾掂我就发
./test/common_voice_yue_31355597.wav,['怪不得不准收到通知'],唔怪得不断收到通知
./test/common_voice_yue_33258769.wav,['生辟字需要反茶'],生僻字需要反查
./test/common_voice_yue_32259574.wav,['真的跟可改錯的人說才行'],真系同可改造嘅人讲先得啰
./test/common_voice_yue_32406000.wav,"['又不值得,人家好!']",又唔抵得人哋好
./test/common_voice_yue_33021398.wav,['昨晚开会的内容却知道没?'],寻晚开会嘅内容佢知道未
./test/common_voice_yue_32640600.wav,['現在難了很多'],而家难咗好多嘞
./test/common_voice_yue_32655033.wav,['還有請大家記住'],仲有唔该大家记住
./test/common_voice_yue_32271199.wav,['他也不懂得粗文的不如用英文好'],佢都唔识中文嘅不如用英文好过
./test/common_voice_yue_31757955.wav,['沒有證據的話就會好像沒有人做錯事'],冇证据嘅话就会好似冇人做错嘢
./test/common_voice_yue_31711727.wav,['我喜歡打機但我更加喜歡睡覺所以我不會叫夜打機'],我钟意打机但系我更加钟意瞓觉所以我唔会挨夜打机
./test/common_voice_yue_32915193.wav,['這本東西有點有錯流'],呢本嘢有啲有错漏
./test/common_voice_yue_32358696.wav,['你覺得我是打出來還是複製過來'],你觉得我系打出嚟定系复制过嚟
./test/common_voice_yue_32068707.wav,"['至少他都有对我坦白,是吗?']",至少佢都有对我坦白系咪
./test/common_voice_yue_33054270.wav,['我不明白這句'],我唔明呢句
./test/common_voice_yue_32332477.wav,"['試下跟我們住,你會知道']",试下同我哋住你会知
./test/common_voice_yue_34220470.wav,['顯然不是你想要的東西'],显然唔系你想要嘅嘢
./test/common_voice_yue_32329690.wav,[' Nathan Geithok'],你信基督
./test/common_voice_yue_32994845.wav,['網上查看電腦版可以過濾新癖字'],网上查看电脑版可以过滤生僻字
./test/common_voice_yue_32305781.wav,['你覺得自己是不是很快過路'],你觉得自己系咪口快过脑
./test/common_voice_yue_32406574.wav,['這個真的不方便'],呢个真系好唔方便
./test/common_voice_yue_31977645.wav,[' Jóngíða kvælun.'],总结下规律
./test/common_voice_yue_33273113.wav,['那個幫我整影片的朋友都給我看過他'],嗰个帮我整影片嘅朋友都同我提过佢
